Chrom	Strand	Experiment_Left	Experiment_Right	Systematic ID	Common Name	NFR/NDR_Left	NFR/NDR_Right
chr4	+	322192	323041	YDL075W	RPL31A	321958	322248
chr12	+	282879	283728	YLR075W	RPL10	282457	282974
chr5	+	423516	424381	YER131W	RPS26B	423106	423584
chr13	+	732369	733234	YMR230W	RPS10B	732036	732433
chr3	-	177393	178258	YCR031C	RPS14A	178187	178609
chr7	+	254533	255406	YGL135W	RPL1B	254234	254618
chr4	-	340404	341277	YDL061C	RPS29B	341189	341625
chr14	+	302648	303529	YNL178W	RPS3	301898	302648
chr10	+	651853	652742	YJR123W	RPS5	651182	651932
chr16	+	654101	654990	YPR043W	RPL43A	653757	654190
chr11	+	551609	552506	YKR057W	RPS21A	551297	551684
chr13	+	651113	652010	YMR194W	RPL36A	650857	651190
chr12	-	712314	713219	YLR287C-A	RPS30A	713137	713558
chr7	-	533954	534867	YGR027C	RPS25A	534774	535171
chr8	-	381890	382803	YHR141C	RPL42B	382803	383454
chr14	+	499633	500554	YNL067W	RPL9B	499347	499718
chr12	+	263135	264064	YLR061W	RPL22A	262656	263223
chr12	+	856439	857368	YLR367W	RPS22B	855554	856491
chr13	+	146432	147361	YML063W	RPS1B	145892	146501
chr5	-	269294	270223	YER056C-A	RPL34A	270167	270917
chr2	+	45547	46484	YBL092W	RPL32	44989	45666
chr12	+	897982	898919	YLR388W	RPS29A	897232	897982
chr4	+	491445	492394	YDR025W	RPS11A	490981	491530
chr15	+	80321	81274	YOL127W	RPL25	79599	80366
chr15	+	867043	867996	YOR293W	RPS10A	866558	867118
chr14	+	331288	332249	YNL162W	RPL42A	330817	331327
chr4	+	217528	218497	YDL136W	RPL35B	216851	217601
chr13	+	225856	226825	YML024W	RPS17A	225346	225906
chr8	-	147780	148749	YHR021C	RPS27B	148669	148917
chr12	-	795410	796387	YLR333C	RPS25B	796330	796733
chr15	-	91941	92918	YOL121C	RPS19A	92843	93288
chr15	-	677868	678845	YOR182C	RPS30B	678767	678981
chr4	+	1401700	1402685	YDR471W	RPL27B	1401241	1401817
chr7	+	277484	278469	YGL123W	RPS2	276734	277484
chr10	-	156358	157343	YJL136C	RPS21B	157229	157720
chr10	+	73753	74746	YJL191W	RPS14B	73392	73814
chr12	-	47709	48702	YLL045C	RPL8B	48598	49048
chr8	+	104222	105223	YHL001W	RPL14B	103893	104323
chr16	+	794934	795943	YPR132W	RPS23B	794494	794980
chr2	+	606200	607210	YBR191W	RPL21A	606050	606298
chr4	+	1359892	1360909	YDR450W	RPS18A	1358891	1359931
chr11	-	617815	618832	YKR094C	RPL40B	618730	619120
chr15	-	778540	779557	YOR234C	RPL33B	779563	780313
chr5	+	306268	307309	YER074W	RPS24A	305853	306347
chr16	+	303073	304114	YPL131W	RPL5	302694	303160
chr16	+	406605	407646	YPL079W	RPL21B	406240	406629
chr7	-	787177	788218	YGR148C	RPL24B	788149	788673
chr9	-	98412	99453	YIL133C	RPL16A	99453	100108
chr16	+	282065	283114	YPL143W	RPL33A	281378	282128
chr7	+	555734	556799	YGR034W	RPL26B	555403	555819
chr11	+	109198	110263	YKL180W	RPL17A	108749	109313
chr13	-	123156	124221	YML073C	RPL6A	124152	124857
chr12	+	805822	806895	YLR340W	RPP0	805521	805870
chr7	+	726918	727998	YGR118W	RPS23A	726243	726993
chr4	+	117615	118704	YDL191W	RPL35A	117232	117683
chr12	-	930716	931805	YLR406C	RPL31B	931672	932508
chr15	-	900185	901274	YOR312C	RPL20B	901181	901706
chr7	+	310919	312016	YGL103W	RPL28	310545	310989
chr6	-	220376	221473	YFR031C-A	RPL2A	221415	222165
chr2	+	604468	605573	YBR189W	RPS9B	604130	604524
chr12	-	1017870	1018975	YLR441C	RPS1A	1018888	1019317
chr11	+	431752	432865	YKL006W	RPL14A	431002	431752
chr9	-	256038	257151	YIL052C	RPL34B	257067	257817
chr4	+	579420	580541	YDR064W	RPS13	579048	579484
chr2	-	59728	60849	YBL087C	RPL23A	60743	61226
chr9	-	231343	232464	YIL069C	RPS24B	232401	233165
chr15	+	505736	506865	YOR096W	RPS7A	504986	505736
chr7	-	437321	438450	YGL031C	RPL24A	438383	439133
chr2	+	168371	169508	YBL027W	RPL19B	167696	168446
chr4	+	308368	309505	YDL082W	RPL13A	308004	308430
chr13	-	550109	551246	YMR142C	RPL13B	551164	551958
chr2	-	88366	89503	YBL072C	RPS8A	89416	89623
chr5	+	362708	363853	YER102W	RPS8B	362466	362749
chr8	+	126471	127616	YHR010W	RPL27A	125798	126548
chr5	+	396676	397829	YER117W	RPL23B	396208	396792
chr12	+	819262	820415	YLR344W	RPL26A	818858	819351
chr15	-	93277	94430	YOL120C	RPL18A	94379	94831
chr4	-	306668	307829	YDL083C	RPS16B	307768	308004
chr9	+	68432	69601	YIL148W	RPL40A	68142	68539
chr14	-	443212	444381	YNL096C	RPS7B	444278	444791
chr13	-	222716	223901	YML026C	RPS18B	223805	224381
chr13	-	753117	754310	YMR242C	RPL20A	754186	754742
chr10	+	90634	91835	YJL177W	RPL17B	89884	90634
chr4	+	471811	473020	YDR012W	RPL4B	471509	471866
chr2	-	414088	415305	YBR084C-A	RPL19A	415261	415913
chr14	-	63397	64614	YNL301C	RPL18B	64552	64869
chr2	-	591592	592833	YBR181C	RPS6B	592754	593275
chr13	+	551801	553066	YMR143W	RPS16A	551413	551771
chr12	+	1028779	1030052	YLR448W	RPL6B	1027892	1028883
chr2	+	300103	301392	YBR031W	RPL4A	299856	300197
chr8	-	504351	505648	YHR203C	RPS4B	505526	506115
chr2	+	332737	334042	YBR048W	RPS11B	332367	332852
chr12	+	673070	674375	YLR264W	RPS28B	672320	673070
chr16	+	404909	406222	YPL081W	RPS9A	404542	404975
chr15	+	444647	445968	YOR063W	RPL3	444316	444714
chr10	-	701801	703122	YJR145C	RPS4A	703030	704129
chr14	-	493725	495046	YNL069C	RPL16B	494966	495245
chr14	-	61765	63094	YNL302C	RPS19B	63094	63466
chr7	+	920549	921886	YGR214W	RPS0A	920226	920593
chr16	-	377137	378474	YPL090C	RPS6A	378385	378700
chr9	+	316706	318163	YIL018W	RPL2B	316208	316795
chr12	+	242143	243608	YLR048W	RPS0B	241993	242263
chr16	+	173113	174794	YPL198W	RPL7B	172738	173180
chr13	-	253060	253229	YML007C-A		253118	253722
chr14	+	352384	352561	YNL145W	MFA2	351656	352406
chr3	+	30840	31066	YCL054W-A	RDT1	30161	30911
chr10	+	294729	294955	YJL077W-A		294265	294693
chr7	-	482871	483097	YGL007C-A		483059	483313
chr4	+	1489333	1489562	YDR524W-C		1488970	1489470
chr11	+	356246	356479	YKL044W	MMO1	355966	356300
chr2	-	89388	89626	YBL071C-B		89623	89999
chr2	-	614456	614700	YBR196C-B		614702	615409
chr13	+	811019	811266	YMR272W-B		810269	811019
chr10	-	448482	448731	YJR005C-A	LSO1	448760	449224
chr12	-	673758	674014	YLR264C-A		674014	674276
chr2	-	800053	800312	YBR296C-A		800198	800513
chr14	-	440727	440989	YNL097C-B		440986	441214
chr7	-	148754	149034	YGL188C-A		148943	149693
chr11	-	259003	259292	YKL096C-B		259350	259448
chr2	-	613954	614243	YBR196C-A		614243	614500
chr7	-	785206	785507	YGR146C-A		785507	785796
chr8	+	280161	280462	YHR086W-A		279411	280161
chr14	-	351316	351650	YNL146C-A		351682	352406
chr13	+	477994	478328	YMR105W-A		477753	478042
chr13	+	70232	70569	YML100W-A		69482	70232
chr4	+	955063	955403	YDR246W-A		954313	955063
chr2	+	565180	565525	YBR162W-A	YSY6	564839	565245
chr12	-	950197	950543	YLR412C-A		950543	951293
chr1	+	186251	186615	YAR029W		185692	186261
chr11	-	393076	393443	YKL023C-A		393354	393755
chr2	+	490829	491206	YBR126W-A	MEO1	490481	490864
chr2	-	164487	164880	YBL029C-A		164870	165620
chr12	+	341255	341656	YLR099W-A	MIM2	341118	341362
chr16	+	900126	900527	YPR182W	SMX3	899673	900171
chr7	-	592114	592531	YGR050C		592473	592673
chr1	+	21496	21920	YAL064W		20632	21551
chr4	-	1233136	1233561	YDR379C-A	SDH6	1233503	1233909
chr2	+	680284	680709	YBR230W-A		679534	680284
chr10	-	159462	159887	YJL133C-A		159819	160498
chr7	-	436553	436986	YGL032C	AGA2	436924	437312
chr12	-	169912	170351	YLR012C		170381	170599
chr8	-	551130	551569	YHR214C-E		551569	552319
chr1	+	220128	220567	YAR064W		219378	220128
chr8	+	540730	541169	YHR213W-B		539980	540730
chr7	-	912873	913314	YGR209C	TRX2	913245	913542
chr8	-	374586	375027	YHR136C	SPL2	374987	375276
chr9	-	394185	394627	YIR020C		394612	394759
chr11	-	247992	248437	YKL102C		248313	248622
chr13	-	905592	906043	YMR316C-A		906043	906218
chr15	-	370437	370894	YOR020C	HSP10	370828	371138
chr9	+	254473	254930	YIL054W		253723	254473
chr4	+	1469324	1469789	YDR510W	SMT3	1468614	1469364
chr14	+	605314	605779	YNL015W	PBI2	605081	605328
chr8	-	450745	451223	YHR173C		451223	451421
chr12	-	954189	954667	YLR415C		954716	954981
chr3	-	157351	157835	YCR022C		157802	157973
chr13	-	69665	70158	YML101C	CUE4	70069	70482
chr12	+	489503	489999	YLR162W		488753	489503
chr13	-	431699	432195	YMR082C		432080	432295
chr11	+	369295	369791	YKL037W	AIM26	369151	369339
chr15	-	231302	231799	YOL052C-A	DDR2	231809	232447
chr13	+	774721	775218	YMR251W-A	HOR7	774639	774826
chr9	-	379949	380454	YIR013C	GAT4	380478	380727
chr7	-	507970	508475	YGR008C	STF2	508497	508740
chr14	+	576698	577211	YNL030W	HHF2	576577	576770
chr4	+	769486	769999	YDR156W	RPA14	768799	769549
chr5	+	140442	140962	YEL008W		139692	140442
chr2	+	89946	90467	YBL071W-A	KTI11	89623	89999
chr2	-	167359	167888	YBL028C		167819	168569
chr10	-	181253	181782	YJL127C-B		181749	181998
chr4	+	135007	135536	YDL181W	INH1	134688	135011
chr6	+	107214	107751	YFL014W	HSP12	106071	107179
chr11	+	259166	259703	YKL096W-A	CWP2	258690	259221
chr13	+	511265	511802	YMR122W-A		510515	511265
chr12	-	782946	783483	YLR327C	TMA10	783315	783665
chr16	-	188093	188638	YPL189C-A	COA2	188569	189016
chr7	-	556970	557523	YGR035C		557487	557813
chr10	+	146330	146883	YJL144W		145881	146303
chr14	-	349244	349797	YNL149C	PGA2	349760	350307
chr7	+	977244	977813	YGR243W	MPC3	976448	977198
chr16	+	645877	646446	YPR036W-A	SPO24	645609	645865
chr4	-	1489328	1489897	YDR524C-B		1489897	1490647
chr5	+	222569	223146	YER035W	EDC2	222338	222669
chr12	-	231515	232092	YLR043C	TRX1	231994	232285
chr5	-	462316	462893	YER145C-A		462893	463153
chr10	-	622475	623060	YJR104C	SOD1	623060	623256
chr12	-	35842	36431	YLL052C	AQY2	36426	36976
chr8	+	17322	17911	YHL041W		17211	17404
chr2	+	256305	256898	YBR010W	HHT1	256154	256402
chr13	+	653937	654538	YMR195W	ICY1	653504	653865
chr4	+	654982	655583	YDR100W	TVP15	654737	655017
chr14	+	692305	692906	YNR034W-A	EGO4	692227	692387
chr13	+	164744	165353	YML055W	SPC2	164266	164806
chr5	+	468349	468958	YER150W	SPI1	467899	468411
chr15	-	930609	931226	YOR327C	SNC2	931137	931598
chr14	+	643689	644306	YNR010W	CSE2	643513	643760
chr7	-	559434	560051	YGR037C	ACB1	560044	560358
chr15	+	110217	110839	YOL109W	ZEO1	109467	110217
chr16	-	74164	74789	YPL250C	ATG41	74818	75568
chr5	-	79548	80173	YEL039C	CYC7	80151	80472
chr4	-	768442	769070	YDR155C	CPR1	768966	769549
chr7	-	546739	547370	YGR031C-A	NAG1	547424	547669
chr4	-	914204	914837	YDR224C	HTB1	914839	915101
chr2	+	331785	332426	YBR047W	FMP23	331523	331808
chr8	-	487631	488288	YHR193C	EGD2	488211	488647
chr12	-	1011430	1012087	YLR437C	DIF1	1011979	1012487
chr11	+	309094	309751	YKL068W-A		308677	309183
chr5	+	342820	343485	YER092W	IES5	342402	342897
chr12	-	281851	282516	YLR074C	BUD20	282457	282974
chr12	-	822066	822731	YLR346C	CIS1	822730	823111
chr15	-	103285	103950	YOL114C	PTH4	103893	104173
chr15	-	761492	762165	YOR226C	ISU2	762066	762397
chr16	+	228217	228890	YPL170W	DAP1	227762	228234
chr14	+	108426	109107	YNL281W	HCH1	108166	108466
chr6	-	224192	224881	YFR033C	QCR6	224804	225554
chr2	+	504765	505454	YBR135W	CKS1	504381	504824
chr2	-	216472	217161	YBL006C	LDB7	217087	217426
chr4	-	1013052	1013749	YDR276C	PMP3	1013749	1014153
chr7	-	639714	640411	YGR078C	PAC10	640353	640832
chr9	+	155147	155852	YIL111W	COX5B	155041	155207
chr15	+	780888	781601	YOR236W	DFR1	780573	780935
chr2	-	679384	680097	YBR230C	OM14	680055	680450
chr4	-	926236	926949	YDR231C	COX20	926889	927241
chr8	+	401334	402055	YHR152W	SPO12	400972	401353
chr8	-	98137	98858	YHL006C	SHU1	98734	99175
chr4	-	588816	589537	YDR071C	PAA1	589459	589795
chr16	-	793841	794568	YPR131C	NAT3	794494	794980
chr14	+	652425	653154	YNR014W		651675	652425
chr7	-	374131	374860	YGL070C	RPB9	374819	375086
chr16	-	888018	888747	YPR174C		888699	888983
chr7	+	809997	810734	YGR161W-C		809794	810039
chr2	-	418536	419273	YBR085C-A		419209	419632
chr4	-	1428312	1429049	YDR487C	RIB3	1428983	1429312
chr2	-	391608	392351	YBR077C	SLM4	392274	392805
chr9	-	257605	258350	YIL051C	MMF1	258297	258636
chr13	+	220096	220849	YML028W	TSA1	219818	220123
chr2	-	235088	235849	YBL003C	HTA2	235738	235922
chr5	+	85592	86361	YEL034W	HYP2	84922	85672
chr14	-	575396	576165	YNL031C	HHT2	576219	576361
chr13	+	350129	350898	YMR040W	YET2	349668	350149
chr13	+	773313	774090	YMR251W	GTO3	772965	773357
chr12	+	368599	369384	YLR109W	AHP1	368171	368596
chr10	+	21896	22681	YJL218W		21637	21925
chr2	-	603400	604185	YBR188C	NTC20	604130	604524
chr15	-	446003	446788	YOR064C	YNG1	446751	447123
chr4	+	1228532	1229325	YDR377W	ATP17	1228267	1228560
chr15	+	299488	300281	YOL014W		299183	299530
chr8	+	452905	453706	YHR175W	CTR2	452496	452975
chr2	-	369964	370765	YBR066C	NRG2	370736	371517
chr2	-	379181	379982	YBR070C	ALG14	379964	380268
chr7	+	191116	191917	YGL166W	CUP2	190856	191159
chr4	+	539773	540574	YDR041W	RSM10	539537	539845
chr2	+	512965	513774	YBR137W		512696	512967
chr5	+	80376	81185	YEL038W	UTR4	80151	80472
chr7	+	375039	375848	YGL068W	MNP1	374819	375086
chr10	-	544634	545451	YJR058C	APS2	545402	545733
chr2	-	406456	407281	YBR082C	UBC4	407178	407420
chr12	-	514026	514851	YLR179C		514757	515184
chr11	+	178414	179239	YKL142W	MRP8	178138	178455
chr13	-	652357	653182	YMR194C-B	CMC4	653204	653504
chr14	+	664225	665058	YNR018W	RCF2	663892	664245
chr2	-	624207	625048	YBR201C-A		625005	625322
chr14	+	254265	255106	YNL208W		253515	254265
chr15	-	426515	427356	YOR052C	TMC1	427334	427645
chr8	-	122819	123660	YHR008C	SOD2	123623	123910
chr13	-	347453	348294	YMR038C	CCS1	348232	348472
chr15	-	877007	877849	YOR298C-A	MBF1	877849	878098
chr11	+	261094	261943	YKL096W	CWP1	260344	261094
chr2	-	371957	372806	YBR067C	TIP1	372865	373073
chr3	-	162417	163266	YCR024C-B		163207	163957
chr15	+	265344	266193	YOL032W	OPI10	264964	265392
chr12	-	499466	500323	YLR168C	UPS2	500280	500599
chr10	+	150858	151715	YJL140W	RPB4	150511	150879
chr14	+	559746	560611	YNL036W	NCE103	558960	559710
chr4	+	916424	917289	YDR226W	ADK1	915674	916424
chr10	-	72589	73454	YJL192C	SOP4	73392	73814
chr5	+	291778	292643	YER067W	RGI1	291529	291808
chr4	-	555648	556513	YDR050C	TPI1	556461	557211
chr7	-	427184	428057	YGL037C	PNC1	428011	428761
chr13	-	636221	637094	YMR188C	MRPS17	637033	637397
chr12	+	828623	829496	YLR350W	ORM2	828295	828639
chr14	+	517146	518019	YNL056W	OCA2	516396	517146
chr15	-	442755	443636	YOR062C		443685	444435
chr5	-	348576	349457	YER094C	PUP3	349397	349671
chr8	+	206424	207313	YHR049W	FSH1	206073	206413
chr16	-	590225	591114	YPR015C		591150	591900
chr2	-	100320	101217	YBL064C	PRX1	101157	101513
chr4	+	765646	766543	YDR152W	GIR2	765400	765706
chr15	+	1059220	1060117	YOR382W	FIT2	1058961	1059268
chr2	-	44119	45016	YBL093C	ROX3	44989	45390
chr8	+	423710	424608	YHR163W	SOL3	423436	423748
chr4	-	329617	330517	YDL072C	YET3	330460	330805
chr5	+	175209	176114	YER011W	TIR1	174459	175209
chr16	-	171901	172806	YPL199C		172738	173180
chr4	-	238908	239813	YDL125C	HNT1	239884	240345
chr4	-	1410280	1411185	YDR476C		1411115	1411341
chr9	-	385607	386520	YIR018C-A		386404	387154
chr10	-	638129	639042	YJR113C	RSM7	638978	639348
chr9	-	313965	314890	YIL020C	HIS6	314851	315119
chr16	+	843198	844127	YPR158W	CUR1	842910	843215
chr10	-	89198	90127	YJL178C	ATG27	90069	90506
chr10	-	380128	381057	YJL035C	TAD2	380998	381328
chr14	+	642609	643538	YNR009W	NRM1	642301	642668
chr16	+	900718	901647	YPR183W	DPM1	900469	900779
chr4	-	542632	543569	YDR043C	NRG1	543554	543965
chr2	+	452580	453517	YBR106W	PHO88	451912	452662
chr10	+	22952	23889	YJL217W	REE1	22725	23044
chr9	+	382558	383495	YIR016W		382120	382609
chr5	-	25988	26933	YEL067C		27002	27746
chr13	+	901633	902578	YMR314W	PRE5	901277	901706
chr9	+	139619	140572	YIL118W	RHO3	139281	139697
chr4	+	454067	455020	YDR003W	RCR2	453814	454123
chr12	+	265383	266336	YLR064W	PER33	265197	265478
chr4	+	592197	593158	YDR073W	SNF11	592072	592171
chr1	-	68649	69610	YAL039C	CYC3	69535	69928
chr16	+	834526	835487	YPR154W	PIN3	834277	834559
chr5	-	395278	396242	YER116C	SLX8	396208	396541
chr15	+	371169	372137	YOR020W-A		370828	371138
chr2	-	425945	426913	YBR089C-A	NHP6B	426813	427181
chr16	+	297457	298426	YPL135W	ISU1	297011	297490
chr16	+	576461	577430	YPR009W	SUT2	576212	576445
chr8	-	122722	123691	YHR007C-A		123623	123910
chr11	-	163474	164451	YKL152C	GPM1	164334	165084
chr12	-	35373	36350	YLL053C		36264	36976
chr4	-	1089163	1090140	YDR313C	PIB1	1090072	1090405
chr11	+	429264	430249	YKL007W	CAP1	428924	429305
chr12	+	759454	760439	YLR312W-A	MRPL15	758978	759501
chr4	-	1344232	1345217	YDR441C	APT2	1345261	1345710
chr5	-	279846	280831	YER062C	GPP2	280791	281031
chr11	-	392428	393413	YKL024C	URA6	393354	393755
chr12	-	285659	286644	YLR078C	BOS1	286579	286829
chr14	+	381336	382329	YNL129W	NRK1	380821	381311
chr11	-	339594	340587	YKL052C	ASK1	340495	340889
chr4	+	432283	433276	YDL010W	GRX6	432032	432333
chr13	-	758429	759422	YMR244C-A	COA6	759470	759728
chr12	+	903654	904655	YLR390W-A	CCW14	903361	903728
chr13	+	170368	171369	YML052W	SUR7	170136	170402
chr13	-	144964	145973	YML064C	TEM1	145892	146277
chr5	+	461925	462934	YER146W	LSM5	461564	461927
chr13	-	624261	625278	YMR182C	RGM1	625215	625572
chr2	-	443744	444761	YBR101C	FES1	444689	444999
chr4	-	540601	541618	YDR042C		541506	541771
chr12	-	540762	541779	YLR194C	NCW2	541733	542003
chr16	+	271249	272266	YPL149W	ATG5	270795	271288
chr12	-	826851	827868	YLR348C	DIC1	827873	828623
chr10	+	140370	141395	YJL148W	RPA34	140052	140427
chr15	+	842715	843740	YOR278W	HEM4	842638	842850
chr14	-	478397	479422	YNL079C	TPM1	479422	479602
chr2	+	136563	137596	YBL043W	ECM13	136138	136551
chr15	+	43674	44707	YOL151W	GRE2	43376	43683
chr5	+	545573	546606	YER177W	BMH1	544932	545682
chr12	+	286775	287808	YLR079W	SIC1	286579	286829
chr11	+	393688	394721	YKL023W		393354	393755
chr3	-	37836	38869	YCL050C	APA1	38823	39092
chr14	-	632869	633902	YNR002C	ATO2	633824	634330
chr12	+	723742	724783	YLR297W		723395	723777
chr14	+	240297	241338	YNL217W		239937	240317
chr10	-	121959	123000	YJL158C	CIS3	123039	123465
chr4	+	240176	241217	YDL124W		239426	240176
chr14	+	87826	88875	YNL289W	PCL1	87404	87778
chr7	-	969080	970129	YGR239C	PEX21	970119	970395
chr14	+	507634	508691	YNL063W	MTQ1	507296	507657
chr7	-	785945	787002	YGR147C	NAT2	786930	787166
chr2	-	310443	311501	YBR037C	SCO1	311437	311814
chr15	-	865575	866640	YOR292C		866558	867118
chr8	+	236622	237695	YHR071W	PCL5	235888	236638
chr12	+	87193	88266	YLL027W	ISA1	86888	87240
chr16	+	829734	830807	YPR149W	NCE102	829087	829750
chr16	+	921758	922831	YPR192W	AQY1	920858	921852
chr12	-	953206	954279	YLR414C	PUN1	954252	954554
chr4	+	1403212	1404285	YDR472W	TRS31	1403067	1403315
chr9	+	97360	98433	YIL134W	FLX1	97113	97416
chr4	-	929348	930421	YDR233C	RTN1	930311	931061
chr13	+	793697	794770	YMR262W		793294	793733
chr15	-	303380	304453	YOL012C	HTZ1	304316	304670
chr11	-	228869	229950	YKL110C	KTI12	229869	230277
chr7	+	640814	641895	YGR079W		640353	640832
chr14	+	676105	677194	YNR028W	CPR8	675788	676160
chr16	-	424169	425258	YPL068C		425258	425416
chr14	+	342376	343465	YNL155W	CUZ1	342118	342423
chr16	-	453921	455010	YPL055C	LGE1	454934	455319
chr11	+	611378	612468	YKR091W	SRL3	611198	611484
chr5	+	559309	560406	YER185W	PUG1	559037	559362
chr11	-	92682	93779	YKL186C	MTR2	93779	94035
chr13	-	224316	225413	YML025C	YML6	225346	225674
chr13	+	577673	578770	YMR161W	HLJ1	577434	577717
chr2	+	236052	237150	YBL002W	HTB2	235302	236052
chr4	-	364868	365973	YDL049C	KNH1	365889	366407
chr6	+	75109	76217	YFL031W	HAC1	74391	75141
chr15	+	551048	552161	YOR120W	GCY1	550062	551020
chr13	-	387205	388326	YMR056C	AAC1	388326	388491
chr7	+	909077	910198	YGR205W	TDA10	908650	909109
chr2	+	140987	142116	YBL041W	PRE7	140612	140955
chr4	-	1501264	1502393	YDR533C	HSP31	1502447	1502889
chr14	-	515646	516775	YNL058C		516775	517018
chr4	-	430935	432064	YDL012C		432032	432333
chr2	+	380241	381378	YBR071W		379964	380268
chr4	+	234864	236001	YDL127W	PCL2	234101	234921
chr2	-	158567	159712	YBL033C	RIB1	159665	160150
chr3	-	132095	133240	YCR010C	ADY2	133287	133779
chr5	-	264765	265910	YER055C	HIS1	265857	266384
chr9	-	383279	384424	YIR017C	MET28	384424	384646
chr7	-	1060487	1061632	YGR284C	ERV29	1061583	1061898
chr9	+	315074	316227	YIL019W	FAF1	314851	315119
chr15	-	160741	161894	YOL085C		161848	162017
chr16	-	327765	328918	YPL117C	IDI1	328863	329613
chr16	+	339905	341058	YPL111W	CAR1	339172	339922
chr8	+	54795	55948	YHL025W	SNF6	54587	54881
chr9	+	254978	256139	YIL053W	GPP1	254228	254978
chr9	-	140535	141696	YIL117C	PRM5	141642	141939
chr15	-	795724	796885	YOR246C	ENV9	796831	797303
chr10	+	268780	269941	YJL088W	ARG3	268381	268898
chr4	+	461651	462820	YDR007W	TRP1	461318	461674
chr4	-	810506	811675	YDR173C	ARG82	811640	811947
chr13	+	751737	752914	YMR241W	YHM2	751256	751815
chr16	+	732244	733421	YPR103W	PRE2	731579	732329
chr15	+	797432	798617	YOR247W	SRL1	796831	797469
chr14	-	770479	771664	YNR071C		771688	771995
chr5	+	242497	243690	YER046W	SPO73	242092	242530
chr12	-	873635	874828	YLR377C	FBP1	874752	875339
chr12	-	836211	837412	YLR354C	TAL1	837412	837741
chr10	+	338196	339397	YJL052W	TDH1	337730	338225
chr7	+	589758	590959	YGR048W	UFD1	589440	589802
chr14	-	340980	342181	YNL156C	NSG2	342118	342423
chr2	-	86652	87859	YBL074C	AAR2	87768	88060
chr10	+	705677	706886	YJR148W	BAT2	705225	705675
chr14	-	121006	122215	YNL274C	GOR1	122235	122604
chr4	+	216008	217217	YDL137W	ARF2	215702	216064
chr4	-	8613	9826	YDL246C	SOR2	9826	10576
chr10	+	735974	737187	YJR159W	SOR1	735224	735974
chr10	+	704126	705342	YJR147W	HMS2	703628	704129
chr7	+	208909	210126	YGL157W	ARI1	208613	208962
chr12	+	341719	342936	YLR100W	ERG27	341362	341835
chr13	+	553233	554458	YMR144W	FDO1	552793	553281
chr5	+	225817	227050	YER037W	PHM8	225067	225817
chr4	+	1434716	1435949	YDR492W	IZH1	1434532	1434754
chr4	-	320460	321693	YDL076C	RXT3	321642	321958
chr7	-	582778	584011	YGR044C	RME1	584023	584385
chr8	+	323317	324550	YHR104W	GRE3	323100	323327
chr10	-	289688	290929	YJL079C	PRY1	290911	291409
chr15	-	966513	967754	YOR342C		967717	968538
chr4	+	892751	893992	YDR214W	AHA1	892001	892751
chr12	-	572010	573259	YLR216C	CPR6	573218	573417
chr13	+	902713	903962	YMR315W		902448	902766
chr10	+	160442	161691	YJL133W	MRS3	160020	160498
chr4	+	1183235	1184492	YDR353W	TRR1	1182980	1183291
chr13	-	348437	349694	YMR039C	SUB1	349668	350149
chr11	-	579637	580902	YKR075C		580954	581222
chr16	+	99000	100265	YPL239W	YAR1	98708	99000
